Order_ID,Order_Date,Region,Category,Product,Quantity,Unit_Price,Sales
1001,2026-01-03,Cairo,Electronics,Laptop,2,18500,37000
1002,2026-01-05,Giza,Office,Printer,3,4200,12600
1003,2026-01-08,Cairo,Furniture,Office Chair,8,1800,14400
1004,2026-01-12,Alexandria,Electronics,Monitor,5,5200,26000
1005,2026-01-15,Giza,Office,Desk,4,3500,14000
1006,2026-01-20,Cairo,Electronics,Keyboard,10,850,8500
1007,2026-01-24,Alexandria,Furniture,Desk,3,3500,10500
1008,2026-02-02,Giza,Electronics,Laptop,1,18500,18500
1009,2026-02-07,Cairo,Office,Printer,5,4200,21000
1010,2026-02-11,Alexandria,Electronics,Monitor,4,5200,20800
1011,2026-02-16,Giza,Furniture,Office Chair,10,1800,18000
1012,2026-02-22,Cairo,Office,Desk,6,3500,21000
1013,2026-03-01,Alexandria,Electronics,Laptop,2,18500,37000
1014,2026-03-06,Giza,Electronics,Keyboard,15,850,12750
1015,2026-03-10,Cairo,Furniture,Office Chair,7,1800,12600
1016,2026-03-18,Alexandria,Office,Printer,2,4200,8400
1017,2026-03-25,Giza,Furniture,Desk,5,3500,17500
1018,2026-03-29,Cairo,Electronics,Monitor,6,5200,31200
1019,2026-04-03,Alexandria,Electronics,Laptop,1,18500,18500
1020,2026-04-09,Giza,Office,Desk,7,3500,24500
1021,2026-04-14,Cairo,Electronics,Keyboard,20,850,17000
1022,2026-04-19,Alexandria,Furniture,Office Chair,9,1800,16200
1023,2026-04-24,Giza,Electronics,Monitor,3,5200,15600
1024,2026-04-28,Cairo,Office,Printer,4,4200,16800
